Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",103.115000,-100.584000,180.000000,top
"C2","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",110.227000,-100.838000,180.000000,top
"C3","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",117.339000,-100.838000,180.000000,top
"C4","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",124.451000,-100.838000,180.000000,top
"C5","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",166.361000,-100.838000,180.000000,top
"C6","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",173.473000,-100.838000,180.000000,top
"C7","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",180.585000,-100.838000,180.000000,top
"C8","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",187.697000,-100.838000,180.000000,top
"C9","10µF","C_Elec_5x5.4",171.704000,-65.532000,90.000000,top
"C10","22µF","C_Elec_6.3x5.4",129.794000,-66.042500,90.000000,top
"C11","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",128.769000,-71.628000,180.000000,top
"C12","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",122.936000,-70.603000,270.000000,top
"C13","10µF","C_Elec_5x5.4",186.944000,-65.532000,90.000000,top
"C14","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",105.401000,-68.580000,180.000000,top
"C15","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",113.783000,-68.580000,180.000000,top
"D1","D_ESD","D_SOD-323_HandSoldering",102.596000,-94.488000,180.000000,top
"D2","D_ESD","D_SOD-323_HandSoldering",109.748000,-94.488000,180.000000,top
"D3","D_ESD","D_SOD-323_HandSoldering",116.860000,-94.488000,180.000000,top
"D4","D_ESD","D_SOD-323_HandSoldering",123.972000,-94.488000,180.000000,top
"D5","D_ESD","D_SOD-323_HandSoldering",165.882000,-94.488000,180.000000,top
"D6","D_ESD","D_SOD-323_HandSoldering",172.994000,-94.488000,180.000000,top
"D7","D_ESD","D_SOD-323_HandSoldering",180.106000,-94.488000,180.000000,top
"D8","D_ESD","D_SOD-323_HandSoldering",187.218000,-94.488000,180.000000,top
"D9","380mV","D_SOD-123F",137.668000,-104.010000,270.000000,top
"D10","380mV","D_SOD-123F",158.496000,-104.010000,270.000000,top
"D11","LED","LED_1206_3216Metric",142.828000,-102.730000,90.000000,top
"D12","LED","LED_1206_3216Metric",167.408000,-72.240000,0.000000,top
"F1","500mA","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",132.842000,-103.922500,270.000000,top
"F2","500mA","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",153.670000,-103.922500,270.000000,top
"R1","1KΩ","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",102.652500,-97.536000,0.000000,top
"R2","1KΩ","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",109.764500,-97.536000,0.000000,top
"R3","1KΩ","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",116.876500,-97.536000,0.000000,top
"R4","1KΩ","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",123.988500,-97.536000,0.000000,top
"R5","1KΩ","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",165.898500,-97.536000,0.000000,top
"R6","1KΩ","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",173.010500,-97.536000,0.000000,top
"R7","1KΩ","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",180.122500,-97.536000,0.000000,top
"R8","1KΩ","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",187.234500,-97.536000,0.000000,top
"R9","200Ω","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",101.600000,-76.998500,270.000000,top
"R10","200Ω","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",104.140000,-76.998500,270.000000,top
"R11","200Ω","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",106.680000,-76.998500,270.000000,top
"R12","200Ω","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",109.220000,-76.962000,270.000000,top
"R13","200Ω","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",179.578000,-76.998500,270.000000,top
"R14","200Ω","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",182.118000,-76.998500,270.000000,top
"R15","200Ω","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",184.658000,-76.998500,270.000000,top
"R16","200Ω","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",187.198000,-76.998500,270.000000,top
"R17","10KΩ","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",122.936000,-65.568500,270.000000,top
"R18","1KΩ","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",142.828000,-97.556500,270.000000,top
"R19","200Ω","R_1206_3216Metric_Pad1.42x1.75mm_HandSolder",172.581500,-72.240000,180.000000,top
"SW1","RST","PTS647SM38SMTR2LFS",103.800999,-64.694001,0.000000,top
"SW2","PRG","PTS647SM38SMTR2LFS",112.182999,-64.694001,0.000000,top
"U1","LTV-247","SOP-16_4.4x10.4mm_P1.27mm",106.050000,-85.750000,90.000000,top
"U2","LTV-247","SOP-16_4.4x10.4mm_P1.27mm",184.028000,-85.750000,90.000000,top
"U3","ESP32-WROVER-IE","ESP32-WROVER-IE",145.018000,-60.276000,0.000000,top
"U4","NCP1117LP","SOT-223-3_TabPin2",179.426000,-65.532000,0.000000,top
